_id.year,_id.month,_id.day,_id.week,distance,co2
2022,10,4,40,9681.689287137007,0
2022,10,5,40,10710.494463143552,0
2022,10,13,41,4639.088172470534,451.2789280118109
2022,10,12,41,11097.931269394412,0
2022,10,14,41,2199.915387441696,0
2022,9,29,39,10778.589243522167,0
2022,10,11,41,6120.620743742692,390.70031503263897
2022,9,26,39,11787.970664899647,1278.6385658728668
2022,9,30,39,848.0623508153074,0
2022,9,28,39,2490.11333363255,0
2022,10,10,41,311.8488954803355,0
2022,10,15,41,92342.13345335018,20286.94042193523
2022,9,27,39,9073.758887601267,479.75973246209674
2022,10,3,40,10858.248122818628,0
2022,10,7,40,2446.0763069679806,0
2022,10,6,40,1415.0246645955754,0
2022,10,8,40,5885.0664922364695,0
