_id.hour,distance,co2
7,154932.27968741624,25750.260393189485
6,62520.23419663064,5722.350974148363
13,8594.024171941026,1054.2607206662751
3,26458.88344010224,5829.156610688925
10,157239.00884485283,21319.8712445579
11,27339.521008620628,1557.948771252371
22,514.0857543411456,0
12,14460.015823524673,2794.126362763709
15,14074.105994020476,1618.504597742963
9,29204.138067943648,1235.78524567764
4,778548.9194062189,77582.2360355595
5,9981.856071632463,1647.5175250295438
14,8528.911710347766,1700.0024575539253
8,10574.579484235559,1421.2887585321719
17,1080904.1453184444,238109.72961539583
16,19345.035246435324,2067.4906946118444
