_id.year,_id.month,_id.day,_id.week,distance,co2
2022,10,2,40,103079.6281560224,21261.526264870103
2022,10,6,40,6008.178630923099,619.8809766189285
2022,10,8,40,8276.64054240758,1472.5854836489011
2022,10,1,39,109625.56823312749,21703.400517936465
2022,10,12,41,6477.206590540254,1228.8839406420648
2022,10,4,40,27124.115434030384,766.6821584009786
2022,10,13,41,3413.795584348693,0
2022,10,7,40,827118.9430256577,88017.62640144753
2022,10,15,41,62542.239240253344,5265.189861034304
2022,10,3,40,1332.9365948236073,0
2022,9,30,39,2808.241064894034,309.09226706294464
2022,10,9,41,23767.47996466458,4797.174868798258
2022,10,11,41,18260.83341608974,252.75518597207676
2022,10,16,42,80084.3710379866,2718.0718910449323
2022,10,14,41,8766.293410888156,1457.6092844828102
2022,10,5,40,1114533.27330005,239540.0509054101
